j = 14, k = 0, y1 = 0, y2 = 2, n_min = 22, n_max = 24, y1 - y2 = -2, r = 1, rk = 0, m1 = 1, m2=1

j = 15, k = 0, y1 = 0, y2 = 0, n_min = 25, n_max = 26, y1 - y2 = 0, r = 0, rk = None, m1 = 0, m2=0
j = 15, k = 0, y1 = 1, y2 = 1, n_min = 24, n_max = 26, y1 - y2 = 0, r = 0, rk = None, m1 = 1, m2=1
j = 15, k = 0, y1 = 2, y2 = 2, n_min = 24, n_max = 26, y1 - y2 = 0, r = 0, rk = None, m1 = 2, m2=2

j = 16, k = 2, y1 = 2, y2 = 0, n_min = 26, n_max = 28, y1 - y2 = 2, r = 2, rk = 0, m1 = 1, m2=1
j = 16, k = 1, y1 = 0, y2 = 1, n_min = 26, n_max = 27, y1 - y2 = -1, r = 2, rk = 1, m1 = 2, m2=2
j = 16, k = 1, y1 = 1, y2 = 2, n_min = 26, n_max = 28, y1 - y2 = -1, r = 2, rk = 1, m1 = 0, m2=0

j = 17, k = 1, y1 = 1, y2 = 0, n_min = 28, n_max = 29, y1 - y2 = 1, r = 1, rk = 0, m1 = 2, m2=2
j = 17, k = 1, y1 = 2, y2 = 1, n_min = 28, n_max = 30, y1 - y2 = 1, r = 1, rk = 0, m1 = 0, m2=0
j = 17, k = 0, y1 = 0, y2 = 2, n_min = 27, n_max = 29, y1 - y2 = -2, r = 1, rk = 0, m1 = 1, m2=1

j = 18, k = 0, y1 = 0, y2 = 0, n_min = 30, n_max = 31, y1 - y2 = 0, r = 0, rk = None, m1 = 0, m2=0
j = 18, k = 0, y1 = 1, y2 = 1, n_min = 29, n_max = 31, y1 - y2 = 0, r = 0, rk = None, m1 = 1, m2=1
j = 18, k = 0, y1 = 2, y2 = 2, n_min = 29, n_max = 31, y1 - y2 = 0, r = 0, rk = None, m1 = 2, m2=2

j = 19, k = 2, y1 = 2, y2 = 0, n_min = 31, n_max = 33, y1 - y2 = 2, r = 2, rk = 0, m1 = 1, m2=1
j = 19, k = 1, y1 = 0, y2 = 1, n_min = 31, n_max = 32, y1 - y2 = -1, r = 2, rk = 1, m1 = 2, m2=2
j = 19, k = 1, y1 = 1, y2 = 2, n_min = 31, n_max = 33, y1 - y2 = -1, r = 2, rk = 1, m1 = 0, m2=0

j = 20, k = 1, y1 = 1, y2 = 0, n_min = 33, n_max = 34, y1 - y2 = 1, r = 1, rk = 0, m1 = 2, m2=2
j = 20, k = 1, y1 = 2, y2 = 1, n_min = 33, n_max = 35, y1 - y2 = 1, r = 1, rk = 0, m1 = 0, m2=0
j = 20, k = 0, y1 = 0, y2 = 2, n_min = 32, n_max = 34, y1 - y2 = -2, r = 1, rk = 0, m1 = 1, m2=1

j = 21, k = 0, y1 = 0, y2 = 0, n_min = 35, n_max = 36, y1 - y2 = 0, r = 0, rk = None, m1 = 0, m2=0
j = 21, k = 0, y1 = 1, y2 = 1, n_min = 34, n_max = 36, y1 - y2 = 0, r = 0, rk = None, m1 = 1, m2=1
j = 21, k = 0, y1 = 2, y2 = 2, n_min = 34, n_max = 36, y1 - y2 = 0, r = 0, rk = None, m1 = 2, m2=2

j = 22, k = 2, y1 = 2, y2 = 0, n_min = 36, n_max = 38, y1 - y2 = 2, r = 2, rk = 0, m1 = 1, m2=1
j = 22, k = 1, y1 = 0, y2 = 1, n_min = 36, n_max = 37, y1 - y2 = -1, r = 2, rk = 1, m1 = 2, m2=2
j = 22, k = 1, y1 = 1, y2 = 2, n_min = 36, n_max = 38, y1 - y2 = -1, r = 2, rk = 1, m1 = 0, m2=0

